Name,Date,Rank,Gross,Percentage Change,Theaters,Per Theater,Total Gross,Days
Conan the Barbarian,14/05/1982,1.00,9479373.00,,1358.00,6980.00,9479373.00,3.00
Conan the Barbarian,21/05/1982,1.00,6224251.00,-0.34,1497.00,4158.00,19680903.00,10.00
Conan the Barbarian,28/05/1982,3.00,5234523.00,-0.16,1361.00,3846.00,28205895.00,17.00
Conan the Barbarian,4/06/1982,7.00,1905952.00,-0.64,770.00,2475.00,32304125.00,24.00
Conan the Barbarian,11/06/1982,9.00,949861.00,-0.50,456.00,2083.00,35136281.00,31.00
Conan the Barbarian,18/06/1982,11.00,650575.00,-0.32,362.00,1797.00,36888292.00,38.00
Conan the Barbarian,25/06/1982,20.00,161573.00,-0.75,105.00,1539.00,37729013.00,45.00
Conan the Barbarian,2/07/1982,17.00,373499.00,1.31,203.00,1840.00,38264085.00,52.00
Conan the Destroyer,29/06/1984,4.00,6876768.00,,1120.00,6140.00,6876768.00,3.00
Conan the Destroyer,6/07/1984,7.00,4701250.00,-0.32,1250.00,3761.00,15513373.00,10.00
Conan the Destroyer,13/07/1984,9.00,2580000.00,-0.45,1075.00,2400.00,20163007.00,17.00
Conan the Destroyer,20/07/1984,10.00,1635820.00,-0.37,795.00,2058.00,23255676.00,24.00
Conan the Destroyer,27/07/1984,15.00,919080.00,-0.44,522.00,1761.00,24954841.00,31.00
Conan the Destroyer,3/08/1984,17.00,768002.00,-0.16,510.00,1506.00,26365298.00,38.00
The Terminator,26/10/1984,1.00,4020663.00,,1005.00,4001.00,4020663.00,3.00
The Terminator,2/11/1984,1.00,4219463.00,0.05,1112.00,3794.00,9780393.00,10.00
The Terminator,9/11/1984,2.00,3191628.00,-0.24,960.00,3325.00,14504506.00,17.00
The Terminator,16/11/1984,4.00,2848258.00,-0.11,1016.00,2803.00,18925483.00,24.00
The Terminator,23/11/1984,3.00,3934127.00,0.38,1017.00,3868.00,25220233.00,31.00
The Terminator,30/11/1984,2.00,2975716.00,-0.24,1032.00,2883.00,29113509.00,38.00
The Terminator,7/12/1984,4.00,1439000.00,-0.52,1023.00,1407.00,31318775.00,45.00
The Terminator,14/12/1984,8.00,955973.00,-0.34,938.00,1019.00,32838673.00,52.00
The Terminator,21/12/1984,14.00,722260.00,-0.24,551.00,1311.00,34004606.00,59.00
The Terminator,4/01/1985,14.00,702042.00,,643.00,1092.00,35016188.00,73.00
The Terminator,11/01/1985,18.00,521060.00,-0.26,595.00,876.00,35838123.00,80.00
The Terminator,18/01/1985,20.00,377785.00,-0.27,533.00,709.00,36439219.00,87.00
The Terminator,25/01/1985,20.00,352169.00,-0.07,408.00,863.00,36953296.00,94.00
Red Sonja,28/06/1985,17.00,284662.00,,88.00,3235.00,284662.00,3.00
Red Sonja,5/07/1985,9.00,2263553.00,6.95,1091.00,2075.00,3776131.00,10.00
Red Sonja,12/07/1985,13.00,928025.00,-0.59,886.00,1047.00,5618631.00,17.00
Red Sonja,19/07/1985,18.00,283508.00,-0.69,311.00,912.00,6360463.00,24.00
Red Sonja,26/07/1985,19.00,124842.00,-0.56,236.00,529.00,6629431.00,31.00
Red Sonja,2/08/1985,22.00,91096.00,-0.27,199.00,458.00,6790488.00,38.00
Red Sonja,9/08/1985,28.00,54320.00,-0.40,160.00,340.00,6905861.00,45.00
Commando,4/10/1985,1.00,7700015.00,,1495.00,5151.00,7700015.00,3.00
Commando,11/10/1985,1.00,6540130.00,-0.15,1503.00,4351.00,16939579.00,10.00
Commando,18/10/1985,1.00,4171033.00,-0.36,1504.00,2773.00,22381921.00,17.00
Commando,25/10/1985,3.00,2756795.00,-0.34,1481.00,1861.00,26392936.00,24.00
Commando,1/11/1985,6.00,1941093.00,-0.30,1237.00,1569.00,29224523.00,31.00
Commando,8/11/1985,10.00,1302673.00,-0.33,975.00,1336.00,31158395.00,38.00
Commando,15/11/1985,12.00,972010.00,-0.25,824.00,1180.00,32615695.00,45.00
Commando,22/11/1985,14.00,867262.00,-0.11,924.00,939.00,33814199.00,52.00
Commando,29/11/1985,15.00,668330.00,-0.23,546.00,1224.00,34896317.00,59.00
Raw Deal,6/06/1986,2.00,5438978.00,,1731.00,3142.00,5438978.00,3.00
Raw Deal,13/06/1986,5.00,2761395.00,-0.49,1733.00,1593.00,10273848.00,10.00
Raw Deal,20/06/1986,8.00,1600702.00,-0.42,1332.00,1202.00,13183982.00,17.00
Predator,12/06/1987,1.00,12031638.00,,1623.00,7413.00,12031638.00,3.00
Predator,19/06/1987,2.00,8225869.00,-0.32,1636.00,5028.00,25738838.00,10.00
Predator,26/06/1987,5.00,5222538.00,-0.37,1632.00,3200.00,34925416.00,17.00
Predator,3/07/1987,7.00,4000063.00,-0.23,1597.00,2505.00,41775223.00,24.00
